
engine_speed_rpm,pressure_flow_L_per_min,scavenge_flow_L_per_min,pump_speed_rpm,displacement_L_per_rev,displacement_cm3_per_rev
1000,4.2105263157894735,12.631578947368421,600.0,0.021052631578947368,21.052631578947366
1500,6.315789473684211,18.94736842105263,900.0,0.021052631578947368,21.052631578947366
2000,8.421052631578947,25.263157894736842,1200.0,0.021052631578947368,21.052631578947366
2500,10.526315789473683,31.578947368421048,1500.0,0.021052631578947364,21.052631578947363
3000,12.631578947368421,37.89473684210526,1800.0,0.021052631578947368,21.052631578947366
3500,14.736842105263158,44.21052631578947,2100.0,0.021052631578947368,21.052631578947366
4000,16.842105263157894,50.526315789473685,2400.0,0.021052631578947368,21.052631578947366
4500,18.94736842105263,56.84210526315789,2700.0,0.021052631578947368,21.052631578947366
5000,21.052631578947366,63.157894736842096,3000.0,0.021052631578947364,21.052631578947363
5500,23.157894736842106,69.47368421052632,3300.0,0.021052631578947368,21.052631578947366
6000,25.263157894736842,75.78947368421052,3600.0,0.021052631578947368,21.052631578947366
6500,27.36842105263158,82.10526315789474,3900.0,0.021052631578947368,21.052631578947366
7000,29.473684210526315,88.42105263157895,4200.0,0.021052631578947368,21.052631578947366
7500,31.57894736842105,94.73684210526315,4500.0,0.021052631578947368,21.052631578947366
8000,33.68421052631579,101.05263157894737,4800.0,0.021052631578947368,21.052631578947366
8500,35.78947368421053,107.36842105263159,5100.0,0.02105263157894737,21.05263157894737
9000,37.89473684210526,113.68421052631578,5400.0,0.021052631578947368,21.052631578947366
9500,40.0,120.0,5700.0,0.021052631578947368,21.052631578947366
